DATA_ACCETTAZIONE;SEDE;TIPO_PS;NUMERO_ACCESSI
16/01/2021;Distretto di Legnano;OCULISTICA;3
16/01/2021;Distretto di Legnano;PEDIATRIA LEGNANO;9
16/01/2021;Distretto di Legnano;CHIRURGIA LEGNANO;24
16/01/2021;Distretto di Legnano;MEDICINA LEGNANO;33
16/01/2021;Distretto di Legnano;OSTETRICIA/GINECOLOGIA LEGNANO;10
16/01/2021;Distretto di Legnano;PEDIATRIA/CHIRURGICA LEGNANO;5
16/01/2021;Distretto di Legnano;ORTOPEDIA LEGNANO;19
16/01/2021;Distretto di Legnano;MEDICINA COVID LEGNANO;7
16/01/2021;Distretto Magenta;CHIRURGIA MAGENTA;16
16/01/2021;Distretto Magenta;OSTETRICIA/GINECOLOGIA MAGENTA;6
16/01/2021;Distretto Magenta;MEDICINA MAGENTA;31
16/01/2021;Distretto Magenta;PEDIATRIA MAGENTA;9
16/01/2021;Distretto Magenta;ORTOPEDIA MAGENTA;14
16/01/2021;Distretto Magenta;OBI GENERALE MAGENTA;8
16/01/2021;Distretto Magenta;MEDICINA COVID MAGENTA;4
17/01/2021;Distretto Cuggiono;SALA CUGGIONO;9
17/01/2021;Distretto di Abbiategrasso;OCULISTICA ABBIATEGRASSO;5
17/01/2021;Distretto di Abbiategrasso;SALA ABBIATEGRASSO;5
17/01/2021;Distretto di Legnano;OCULISTICA;1
17/01/2021;Distretto di Legnano;MEDICINA LEGNANO;29
17/01/2021;Distretto di Legnano;OSTETRICIA/GINECOLOGIA LEGNANO;6
17/01/2021;Distretto di Legnano;MEDICINA COVID LEGNANO;5
17/01/2021;Distretto di Legnano;CHIRURGIA LEGNANO;22
17/01/2021;Distretto di Legnano;ORTOPEDIA LEGNANO;18
17/01/2021;Distretto di Legnano;PEDIATRIA LEGNANO;4
17/01/2021;Distretto Magenta;PEDIATRIA MAGENTA;6
17/01/2021;Distretto Magenta;MEDICINA COVID MAGENTA;3
17/01/2021;Distretto Magenta;ORTOPEDIA MAGENTA;19
17/01/2021;Distretto Magenta;CHIRURGIA MAGENTA;19
17/01/2021;Distretto Magenta;OSTETRICIA/GINECOLOGIA MAGENTA;5
17/01/2021;Distretto Magenta;MEDICINA MAGENTA;22
17/01/2021;Distretto Magenta;OBI GENERALE MAGENTA;9
18/01/2021;Distretto Cuggiono;SALA CUGGIONO;30
18/01/2021;Distretto di Abbiategrasso;SALA ABBIATEGRASSO;16
18/01/2021;Distretto di Abbiategrasso;OCULISTICA ABBIATEGRASSO;8
18/01/2021;Distretto di Legnano;OCULISTICA;2
18/01/2021;Distretto di Legnano;MEDICINA COVID LEGNANO;4
18/01/2021;Distretto di Legnano;CHIRURGIA LEGNANO;23
18/01/2021;Distretto di Legnano;OSTETRICIA/GINECOLOGIA LEGNANO;13
18/01/2021;Distretto di Legnano;PEDIATRIA LEGNANO;8
18/01/2021;Distretto di Legnano;MEDICINA LEGNANO;35
18/01/2021;Distretto di Legnano;ORTOPEDIA LEGNANO;23
18/01/2021;Distretto di Legnano;PEDIATRIA/CHIRURGICA LEGNANO;1
18/01/2021;Distretto Magenta;OBI GENERALE MAGENTA;7
18/01/2021;Distretto Magenta;GESSI (ORTOPEDIA);1
18/01/2021;Distretto Magenta;ORTOPEDIA MAGENTA;17
18/01/2021;Distretto Magenta;PEDIATRIA MAGENTA;10
18/01/2021;Distretto Magenta;OSTETRICIA/GINECOLOGIA MAGENTA;12
18/01/2021;Distretto Magenta;MEDICINA COVID MAGENTA;5
18/01/2021;Distretto Magenta;CHIRURGIA MAGENTA;15
18/01/2021;Distretto Magenta;MEDICINA MAGENTA;31
19/01/2021;Distretto Cuggiono;SALA CUGGIONO;18
19/01/2021;Distretto di Abbiategrasso;SALA ABBIATEGRASSO;15
19/01/2021;Distretto di Abbiategrasso;OCULISTICA ABBIATEGRASSO;5
19/01/2021;Distretto di Legnano;CHIRURGIA LEGNANO;25
19/01/2021;Distretto di Legnano;MEDICINA LEGNANO;36
19/01/2021;Distretto di Legnano;MEDICINA COVID LEGNANO;2
19/01/2021;Distretto di Legnano;PEDIATRIA LEGNANO;7
19/01/2021;Distretto di Legnano;OCULISTICA;3
19/01/2021;Distretto di Legnano;ORTOPEDIA LEGNANO;19
19/01/2021;Distretto di Legnano;OSTETRICIA/GINECOLOGIA LEGNANO;17
19/01/2021;Distretto Magenta;OBI GENERALE MAGENTA;10
19/01/2021;Distretto Magenta;PEDIATRIA MAGENTA;11
19/01/2021;Distretto Magenta;ORTOPEDIA MAGENTA;20
19/01/2021;Distretto Magenta;PEDIATRIA COVID ACCOMPAGNATORI;1
19/01/2021;Distretto Magenta;MEDICINA COVID MAGENTA;1
19/01/2021;Distretto Magenta;MEDICINA MAGENTA;32
19/01/2021;Distretto Magenta;GESSI (ORTOPEDIA);1
19/01/2021;Distretto Magenta;OBI PEDIATRICA MAGENTA;1
19/01/2021;Distretto Magenta;CHIRURGIA MAGENTA;15
19/01/2021;Distretto Magenta;OSTETRICIA/GINECOLOGIA MAGENTA;11
20/01/2021;Distretto Cuggiono;SALA CUGGIONO;17
20/01/2021;Distretto di Abbiategrasso;SALA ABBIATEGRASSO;12
20/01/2021;Distretto di Abbiategrasso;OCULISTICA ABBIATEGRASSO;3
20/01/2021;Distretto di Legnano;PEDIATRIA LEGNANO;15
20/01/2021;Distretto di Legnano;ORTOPEDIA LEGNANO;21
20/01/2021;Distretto di Legnano;OSTETRICIA/GINECOLOGIA LEGNANO;14
20/01/2021;Distretto di Legnano;MEDICINA LEGNANO;37
20/01/2021;Distretto di Legnano;MEDICINA COVID LEGNANO;3
20/01/2021;Distretto di Legnano;PEDIATRIA/CHIRURGICA LEGNANO;1
20/01/2021;Distretto di Legnano;CHIRURGIA LEGNANO;23
20/01/2021;Distretto Magenta;PEDIATRIA MAGENTA;11
20/01/2021;Distretto Magenta;OBI PEDIATRICA MAGENTA;1
20/01/2021;Distretto Magenta;OBI GENERALE MAGENTA;3
20/01/2021;Distretto Magenta;MEDICINA COVID MAGENTA;5
20/01/2021;Distretto Magenta;GESSI (ORTOPEDIA);1
20/01/2021;Distretto Magenta;OSTETRICIA/GINECOLOGIA MAGENTA;10
20/01/2021;Distretto Magenta;CHIRURGIA MAGENTA;27
20/01/2021;Distretto Magenta;MEDICINA MAGENTA;41
20/01/2021;Distretto Magenta;ORTOPEDIA MAGENTA;14
21/01/2021;Distretto Cuggiono;SALA CUGGIONO;21
21/01/2021;Distretto di Abbiategrasso;OCULISTICA ABBIATEGRASSO;6
21/01/2021;Distretto di Abbiategrasso;SALA ABBIATEGRASSO;16
21/01/2021;Distretto di Legnano;OSTETRICIA/GINECOLOGIA LEGNANO;10
21/01/2021;Distretto di Legnano;OCULISTICA;4
21/01/2021;Distretto di Legnano;CHIRURGIA LEGNANO;19
21/01/2021;Distretto di Legnano;MEDICINA LEGNANO;50
21/01/2021;Distretto di Legnano;OBI PEDIATRICA LEGNANO;2
21/01/2021;Distretto di Legnano;PEDIATRIA LEGNANO;5
